OBJECTID	LandslideCount2018	LandslideCount2020	Landslide2018	Landslide2020	TARGET_FID	Area_SU	CoordX	CoordY	ExpandedSL2020	ExpandedSL2018	ElevationR	ElevationM	ElevationSTD	SlopeR	SlopeM	SlopeSTD	SoildepthR	SoildepthM	SoilDepthSTD	AspectR	AspectM	AspectSTD	PlanCurvR	PlanCurvM	PlanCurvSTD	ProfCurvR	ProfCurvM	ProfCurvSTD	RelRelfR	RelRelfM	RelRelfSTD	TWIR	TWIM	TWISTD	SoilType	DistRR	DistRM	DistSTD	Rain201317MAX	Rain201317R	Rain201317M	Rain201317STD	Rain201321MAX	Rain201321R	Rain201321M	Rain201321STD	SPIR	SPIM	SPISTD	LULC20172021	LULC20172018	NDVI20172021	NDVI20172018
784	0	0	0	0	783	5762.399902	92.1380997	21.198			16.7329998	20.28280529	4.747710849	64.97082105	24.26859142	13.14901538	1.94102788	1.87387441	0.550734443	359.994131	150.6308717	121.9348757	8.966304541	0.000178396	0.477354994	9.142153502	0.000360416	0.415361939	1.213367462	16.71190984	0.324607464	13.35752189	1.882443847	1.658543744	5	56.7930336	21.82902076	12.9079543	614.7845459	18.66729736	607.0960433	5.137499021	630.8444824	18.66723633	623.1560409	5.13749915	21.0069561	-2.335743953	4.353739724	10	10	7	7
785	0	0	0	0	784	1304.099976	92.1455994	21.198			9.38494873	14.74350713	2.406524309	35.66979963	16.29410011	6.710140281	1.088653803	2.51643298	0.279156812	359.3409488	240.8520304	41.5331882	1.148653209	0.016934591	0.111378929	1.091623753	-0.005657754	0.111027397	1.145841599	16.89550992	0.247672525	7.265175968	2.812745249	1.412845192	5	20.28808594	6.289787888	4.59520665	607.796875	12.96673584	600.7300494	3.403408158	623.8568726	12.96673584	616.7900469	3.403408616	14.61170959	-0.654584923	3.327055254	8	8	7	7
786	0	0	0	0	785	5750.700195	92.1505966	21.1982002			19.40685368	12.95375689	5.395251758	41.15252648	16.04517005	9.389776843	2.251194954	2.724044015	0.625849201	359.975688	285.5174651	86.58737789	2.488828301	0.003641497	0.150600946	2.835558534	-0.000874878	0.188369276	2.866636276	16.73571816	0.333613699	15.66911703	3.176409297	2.171422839	4	58.44825745	26.11852057	14.19670916	612.8873901	28.90985107	596.5501115	8.46654923	628.9473877	28.90985107	612.6101091	8.466549303	20.53135681	-1.547189934	4.431070717	10	10	7	7
787	0	0	0	0	786	1580.25	92.1423035	21.198			8.633411407	15.18663554	2.271300542	31.30291962	11.38758227	6.07926681	1.001475811	2.465030083	0.263470856	334.9750733	179.0445374	39.89001565	1.267080009	0.006130923	0.138353504	1.179223597	0.001603073	0.135071614	1.750873566	18.00679392	0.377075832	8.638118654	3.143812757	1.645542087	5	49.96915627	58.92944407	11.36311103	607.8419189	11.54418945	601.4018905	3.061081733	623.9019165	11.54418945	617.4618881	3.061081797	18.27352619	-1.806271506	4.127308808	8	9	7	7
788	0	0	0	0	787	8637.099609	92.1477966	21.1982994			18.26882935	18.65712272	4.820083592	52.79522115	19.29612299	8.617521755	2.119184256	2.062453582	0.559129681	359.9929366	218.5848444	116.4340752	3.07550931	0.000903412	0.136541108	3.513447523	-0.000636568	0.169190447	3.321809769	18.01937115	0.635240383	15.87480873	2.955142801	1.789605093	4	68.96659088	21.6871664	15.88108697	614.3973389	22.34332275	605.1786754	5.854552804	630.4573364	22.34332275	621.238673	5.854552779	21.38342857	-0.398105314	3.623384769	10	8	8	7
789	0	0	0	0	788	1964.530029	92.1391983	21.1979008			11.81763554	15.00708935	2.505353857	43.86912343	9.018848063	7.35088107	1.370845795	2.485857442	0.290621039	359.8152376	221.2309236	51.97808177	8.769327164	-0.002136377	0.24228285	8.683402061	-0.000576786	0.288332397	2.232195854	15.6897076	0.415140423	14.76447552	3.943228248	1.93719443	5	55.99541187	37.90534401	12.64671544	609.8965454	15.62927246	601.08682	3.504888069	625.956543	15.62927246	617.1468173	3.50488817	19.4569521	-1.342549366	3.698695014	8	10	7	7
790	0	0	0	0	789	11692.7998	92.141098	21.1986008			20.75857925	22.18887625	5.726615601	45.11903034	17.14669774	10.34012928	2.407995224	1.652770185	0.66428739	359.9913725	131.7773507	122.9839664	1.608147979	0.005041448	0.11246788	1.326317251	-0.004500078	0.100467213	4.11805439	17.75809705	0.959105653	16.31476575	3.452378695	2.057962403	5	115.2444077	52.36856979	30.52684757	618.0053711	20.69244385	608.8481624	5.681864757	634.0654297	20.69250488	624.9081599	5.681864773	21.15721989	-0.30653102	3.471525655	10	10	8	7
791	0	0	0	0	790	15066.7998	92.1561966	21.1987			18.53919029	12.67623631	4.546621183	43.02033372	15.84956314	8.726819035	2.150546074	2.756236398	0.527408058	359.997141	232.2368129	66.89184551	1.369131446	0.002843054	0.100117266	1.225381434	-0.002922833	0.103404652	1.937655449	17.02808827	0.339426499	15.70688361	3.299422044	1.778442945	4	41.58252716	17.12981183	10.83718381	610.2559204	34.81933594	596.3230701	8.245158224	626.315918	34.81933594	612.3830676	8.245158263	20.3226552	-0.389081489	3.355229739	8	8	7	7
792	0	0	0	0	791	2392.600098	92.1601028	21.1979008			18.28765345	10.32187741	4.673200735	38.49800775	18.89537095	7.240895248	2.121367693	3.029342036	0.542091291	359.9293705	60.052723	52.0449088	2.082965553	0.008933297	0.097426592	2.316039681	-0.002899947	0.154632821	1.813894272	18.79872769	0.303272791	13.96137047	3.13804365	1.60100954	1	27.88151741	11.9108477	6.389413662	609.3533936	37.65759277	591.2876451	9.825921956	625.4133911	37.65759277	607.3476426	9.825921794	18.9837532	0.238703286	2.98547056	8	8	7	7
793	0	0	0	0	792	10883.7998	92.1611023	21.1984005			22.17754793	14.70803007	6.139908813	46.5777205	18.52009246	9.179443742	2.572595596	2.520548327	0.712229417	359.9965331	137.5046413	134.3363915	1.290908575	0.002939585	0.080620074	1.273739576	-0.002595874	0.090433596	2.840373993	19.21084277	0.738243963	16.57533342	3.300774887	1.64011231	1	51.66600037	17.26461448	12.05856963	612.3337402	44.02954102	598.7460266	10.20682054	628.3937378	44.02954102	614.8060241	10.20682052	20.18102694	0.213675952	3.064095592	8	8	7	7
